channel_name,video_id,title,publish_date,duration_seconds,view_count,like_count,comment_count
From The Desk Of Anthony Pompliano,Trogo0dC8aY,Institutional Investors Are NOT Why Housing Is Unaffordable,2026-01-12T14:01:00Z,87,1876,65,1
From The Desk Of Anthony Pompliano,2lJXSC1bEM0,Does Venezuela Really Have $60B In Bitcoin?,2026-01-09T17:15:00Z,68,1744,41,1
From The Desk Of Anthony Pompliano,8bwLJNfyWAc,Remember This As Crypto Prices Continue To Fall,2025-12-19T14:00:25Z,76,4497,189,1
From The Desk Of Anthony Pompliano,74nWixcUUr0,"Stocks, Bitcoin, or Real Estate? Which Goes Up The Most With QE Back?",2025-12-14T01:30:12Z,73,2929,85,4
From The Desk Of Anthony Pompliano,gTDyZOW0i6k,Quantitative Easing Is Officially Back! Asset Prices Are About To Soar,2025-12-11T19:30:21Z,48,1541,48,1
From The Desk Of Anthony Pompliano,i_kRYvx9i90,A 0.50% Interest Rate Cut Makes Too Much Sense,2025-12-10T16:01:29Z,79,1521,51,2
From The Desk Of Anthony Pompliano,gTz9TUxY094,Amazon Launching A Starlink Competitor,2025-12-03T13:01:35Z,67,5310,135,6
From The Desk Of Anthony Pompliano,KkyrbfymeJw,"The Poverty Line In America Is Now Over $100,000?!?",2025-12-02T18:15:02Z,89,2611,87,3
From The Desk Of Anthony Pompliano,LE5xHrtlw30,Is AI Narrative In Stocks Running Out Of Steam?,2025-11-24T14:30:27Z,85,1874,58,2
From The Desk Of Anthony Pompliano,xOSihq2QYn4,Is This The End Of Bitcoin's Bull Run?,2025-11-21T15:01:55Z,64,7038,225,10
From The Desk Of Anthony Pompliano,9Lqrj76MX9M,Markets Are Selling Off... Is It All Over?,2025-11-19T17:15:03Z,84,4241,174,8
From The Desk Of Anthony Pompliano,oMKQ7itlxQ8,More Evidence AI Is NOT A Bubble,2025-11-05T18:45:06Z,87,1867,63,5
From The Desk Of Anthony Pompliano,TDUs7MqGvDM,The Crazy Math Behind An OpenAI IPO,2025-11-03T20:45:02Z,77,3023,61,0
From The Desk Of Anthony Pompliano,QdlJq6mJ3og,US National Debt Hits Scary New Highs,2025-10-31T17:30:07Z,74,2818,115,7
From The Desk Of Anthony Pompliano,uzromJjqE2k,"Why This Is The ""Everything Rally"" With BOTH Risk And Safe Assets Sending",2025-10-23T19:30:08Z,81,2264,84,2
From The Desk Of Anthony Pompliano,m3NZaIRtLaw,Tom Lee Says It's NOT A Bubble And Stocks Are STILL Cheap,2025-10-22T21:00:53Z,1457,69309,3153,239
From The Desk Of Anthony Pompliano,DLpZcv_ETmQ,It's Bitcoin's Time To Outshine Gold,2025-10-21T19:34:49Z,56,1435,80,7
From The Desk Of Anthony Pompliano,lgIImsBHisc,BlackRock's Larry Fink Wants To Tokenize The World,2025-10-19T22:01:03Z,69,2561,86,5
From The Desk Of Anthony Pompliano,skxYVgg6NiM,We Are Witnessing The Demise of the US Dollar,2025-10-14T16:45:03Z,73,2466,86,2
From The Desk Of Anthony Pompliano,2gXyuQwd77Y,"Will Gold Hit $6,000 By The End of 2025?!",2025-10-12T14:00:02Z,2014,63351,2020,524
Carl Moon - Vlogs,czaHIhYHn2s,When It’s Always Been Them. ❤️,2026-09-08T14:20:01Z,18,279,9,1
Carl Moon - Vlogs,O5iok5EzA-Q,POV: You Bounce Back. ⚡,2026-09-08T12:20:18Z,16,192,0,5
Carl Moon - Vlogs,4PCanDOqZeQ,That Feeling When Something Feels Off.,2026-09-08T10:20:22Z,27,501,14,14
Carl Moon - Vlogs,RyyTx1muIWY,Every Move Matters... ♟️🏎️,2026-09-08T08:59:12Z,20,2909,52,8
Carl Moon - Vlogs,ZfbVRBOvJ54,For the Person You’re Becoming.,2026-09-07T16:00:07Z,13,957,5,2
Carl Moon - Vlogs,RcACUpgohg8,When Their Presence Is All You Need.,2026-09-07T14:00:13Z,16,1026,11,2
Carl Moon - Vlogs,s2IaYSF23Qg,The Truth Changes Everything.,2026-09-07T12:00:12Z,14,986,22,4
Carl Moon - Vlogs,NOwEp_DKjQ4,For Anyone Starting Over. ❤️,2026-09-06T13:00:09Z,14,1252,16,1
Carl Moon - Vlogs,9eMUOzCKJHQ,Never Surrender. 🔥,2026-09-06T10:15:22Z,29,1955,49,4
Carl Moon - Vlogs,lxN5xImZgkY,POV: Breaking through the matrix.,2026-09-06T08:05:59Z,8,1334,26,4
Carl Moon - Vlogs,hi0IXwyaDTE,For that one special person.,2026-09-03T12:30:25Z,26,2745,68,8
Carl Moon - Vlogs,Z0PFMA4fSMQ,A Song About Strength.,2026-09-01T14:00:34Z,16,1410,19,5
Carl Moon - Vlogs,wPMwVDNLc2A,Pushing tire limits at Portimão. 🇵🇹 #Ferrari #FerrariRaces,2026-07-20T16:00:05Z,18,3429,34,1
Carl Moon - Vlogs,HqsYJL_jluw,Awareness + Reaction Speed earn you a podium. 🇵🇹#Ferrari #FerrariRaces,2026-07-20T15:15:28Z,10,2932,41,3
Carl Moon - Vlogs,MGUwolA9XXM,Fighting for Podium! #ferrari #ferrariraces,2026-07-20T11:31:16Z,16,1576,33,1
Carl Moon - Vlogs,Bh35OceyUoc,POV: overtaking like a boss #ferrari #ferrariraces,2026-07-20T10:52:14Z,14,3239,39,1
Carl Moon - Vlogs,uIqPD2PT7us,This Race Was INSANE! 🤯 #lemans,2026-07-16T14:30:03Z,24,2209,29,0
Carl Moon - Vlogs,hUgPxDfH3tA,Dragon - Carl Moon,2026-07-02T09:05:04Z,15,2412,46,5
Carl Moon - Vlogs,kw97KnJt3fs,MEETING MY FANS IN SWEDEN,2026-06-27T16:42:45Z,53,3278,145,5
Carl Moon - Vlogs,kWvgxIox-Fc,The overtake starts in the corner. #LeMans,2026-06-22T13:45:25Z,16,2180,27,2
Carl Moon - Vlogs,9Mz9X6tsGmI,Signing autographs at Le Mans. ✍️🏁🇫🇷 #lemans,2026-06-13T16:15:20Z,36,1516,26,1
Carl Moon - Vlogs,-E8PHEdUQMc,Celebrating my first podium at Le Mans 🏁🇫🇷,2026-06-13T05:09:38Z,18,5558,191,9
Carl Moon - Vlogs,Xma4Tah_3jk,“In One Direction” - Carl Moon,2026-06-01T15:11:38Z,24,1148,18,3
Carl Moon - Vlogs,rqLqX4N4dQk,No Escape - Carl Moon,2026-06-01T13:00:23Z,22,766,10,9
Carl Moon - Vlogs,jBk0xR42-Xc,Did you know Louis Vuitton only made these handmade boxes when they first started?,2026-03-18T13:53:44Z,19,11234,167,10
Carl Moon - Vlogs,GhxTneMNh2Q,This wind is absolutely wild! Never experienced anything like it on track.,2026-03-12T17:12:46Z,37,16733,421,5
Carl Moon - Vlogs,tYhbxBpqxX0,COMING SOON !!!!!!!!,2026-02-18T20:08:35Z,21,15258,304,15
Carl Moon - Vlogs,dw7yoitDEo4,What's Its Like Preparing for a Race Qualification,2026-02-03T21:40:41Z,26,12292,314,4
Carl Moon - Vlogs,lMWy0A8LXaQ,My Shirt is Worth 2 Bentleys,2026-01-21T18:56:05Z,22,21983,372,5
Carl Moon - Vlogs,604b91kNvwI,THE FAMOUS & RARE PATEK PHILIPPE TIFFANY,2026-01-06T19:42:11Z,21,10198,170,5
Carl Moon - Vlogs,x4Si4WMVf-M,BEAUTIFUL GREEN RICHARD MILLE,2026-01-05T19:15:54Z,21,8523,198,2
Carl Moon - Vlogs,1X44BYIrmDU,POV: Early retirement BLISS,2025-12-29T21:52:41Z,14,8823,315,13
Carl Moon - Vlogs,rxzwa5DC37E,"DRIFTING MY $1,000,000 CAR",2025-12-26T18:32:43Z,43,12426,539,10
Carl Moon - Vlogs,iWcIE5aMUo4,MY NEW SUPERCAR SHOULD BE ILLEGAL!!!,2025-12-19T15:00:07Z,442,34087,1081,143
Carl Moon - Vlogs,ZzGEkZWZZKQ,How a Multi-Millionaire Customises His New Ferrari!,2025-12-04T15:30:07Z,1081,67902,2041,138
Carl Moon - Vlogs,NZfDc_nUGu4,YOU ARE WHAT YOU DO!,2025-11-29T18:04:39Z,21,8379,290,8
Carl Moon - Vlogs,SSw7ApfBI78,PROOF THAT VISUALIZATION ACTUALLY WORKS,2025-11-17T14:39:45Z,35,10807,433,23
Carl Moon - Vlogs,qcbBEOG3kLo,MINDSET IS IMPORTANT IF YOU WANT TO GET RICH,2025-11-15T18:32:49Z,18,10520,278,5
Carl Moon - Vlogs,fff7Zd5SfC4,"BTC AT $3,700 VS $100,000",2025-11-14T18:08:40Z,9,24212,435,22
Carl Moon - Vlogs,lL9_AI_YCtU,POV: Ending Up In Hospital...,2025-11-13T15:30:07Z,975,23392,1011,115
Carl Moon - Vlogs,SmBZbi1P9fA,THE REAL REASON I WAS ON A REALITY TV SHOW,2025-10-22T14:30:39Z,30,9662,176,0
Carl Moon - Vlogs,tcKcHnoBcSI,DAY IN THE LIFE OF A MILLIONAIRE IN ST. TROPEZ!!!,2025-10-08T15:30:08Z,1892,68540,2227,233
Carl Moon - Vlogs,mK29jd5FcLg,"Throwback to when we got filmed by the Below Deck crew, now online on Peacock!",2025-10-02T20:49:15Z,17,16595,273,7
Carl Moon - Vlogs,AJCO1FMOBaE,I’M BUYING THE 849 TESTAROSSA !!! ,2025-09-12T21:23:53Z,365,36378,1383,169
Carl Moon - Vlogs,zzbVtBBtPCo,The story behind my first ever Rolex!,2025-09-01T17:35:05Z,32,9774,256,1
Carl Moon - Vlogs,XJ2OeuVyYVA,Which token is on your watchlist?,2025-08-22T10:47:50Z,29,7370,290,15
Carl Moon - Vlogs,t1NcI0XmqJM,Life responds to your energy. Make sure it fits your goals.,2025-08-20T12:01:40Z,23,3642,164,2
Carl Moon - Vlogs,H4GN8TvyM1U,Upgraded my McLaren with a Novitec kit! (New video out now!),2025-08-12T16:06:25Z,23,17950,942,12
Carl Moon - Vlogs,9kELLjTD4tE,Using Affirmations to impact your reality! #lawofattraction #mindset #abundance,2025-06-19T05:46:40Z,32,5356,298,13
Carl Moon - Vlogs,ecDMZlorJpw,DELIVERY: MY NEW FERRARI !!!!,2025-05-21T15:20:08Z,1479,83412,2741,203
MoneyZG,pFBXL-GtlRI,Crypto Alert: Absolute Shambles,2026-09-08T14:00:09Z,544,1458,171,14
MoneyZG,esH_VbcJX48,Bybit Limit Order Tutorial (How to Use Limit Orders),2026-09-07T14:00:34Z,322,2367,15,23
MoneyZG,i9O-a8D5Ey4,Crypto Alert: Don't Wait!!,2026-09-04T14:00:13Z,621,13689,473,42
MoneyZG,krnrWWspWZc,Crypto Alert: Bitcoin Moved Too Fast!!,2026-09-01T14:00:35Z,463,17207,517,34
MoneyZG,4gUfl1Lbe5I,How to Use Coinbase Advanced Mobile App,2026-02-12T14:00:08Z,648,2642,65,4
MoneyZG,1SvvvzpgDME,Crypto Alert: Here's What Bitcoin Is Signalling Now,2025-12-05T14:00:03Z,667,22363,1209,67
MoneyZG,Fff36EQYlyM,Crypto Alert: We Could Be In Trouble Now..,2024-12-31T14:00:26Z,397,48321,2432,119
MoneyZG,TGPwdYkQHWA,How to Borrow Money on Binance (Against Crypto),2024-12-26T14:00:26Z,634,10914,301,20
MoneyZG,srdwLyXet1A,BEST Bollinger Bands Trading Strategy That WORKS,2024-10-07T14:01:00Z,489,20350,533,11
MoneyZG,tvebyU1OXNk,How to Swap Crypto in Trust Wallet,2023-11-15T14:00:40Z,420,111973,1023,106
MoneyZG,2ozyHYFHLHU,Binance vs Bitget: Best Crypto Exchange?,2023-08-15T14:00:03Z,729,10565,196,13
MoneyZG,o4qFIiT7cCQ,ApeX Exchange Tutorial (How to Trade Crypto on ApeX DeX),2023-03-30T14:30:14Z,832,18698,416,16
MoneyZG,KccGD-cEMbo,Binance Simple Earn Tutorial (How to Use Simple Earn),2022-09-30T14:00:08Z,385,218225,2489,138
MoneyZG,kkwvHVo2oo0,THEY JUST FLIPPED CRYPTO!!!,2022-07-29T14:00:24Z,539,27730,1267,45
MoneyZG,0IepNPQg3eU,Crypto Now: The Collapse of UST / LUNA,2022-05-10T14:00:00Z,1101,100210,2735,249
MoneyZG,ZrlH9rOBkdo,Best Bitcoin Trading Strategy for Mega Profits (Crypto Trading Strategy),2021-04-06T18:00:08Z,1191,31145,1357,340
VirtualBacon,XWpO7HLGXaI,Bitcoin Failed At The Bull Market Line. I'm Still Waiting.,2026-09-08T15:58:01Z,6565,5526,299,27
Benjamin Cowen,WQ8ZGnoWbiU,Bitcoin Closes at the 50 Week Moving Average,2026-09-07T03:52:06Z,876,241225,7155,320
Benjamin Cowen,xFxtbyNM3RI,Labor Market Remains Hot,2026-09-04T15:29:48Z,1749,131970,2831,142
Benjamin Cowen,nDp00KRoosU,Bitcoin: The Liquidity Paradox,2026-09-02T20:28:56Z,885,190508,6162,238
Chart Hackers,vGP5fGVR9Uo,"CRYPTO LIVE TRADING: If Bitcoin Does This Today, You Will LOSE Money!",2026-09-08T16:53:21Z,3596,1686,184,0
Chart Hackers,z9sSkMfPquc,LIQUIDITY BUILDING UP BOTH WAYS,2026-09-07T17:46:22Z,45,534,14,0
Chart Hackers,-aouRv2qslg,CRYPTO TRADING: Bitcoin Holds. These Altcoins Run [Simple],2026-09-07T16:52:56Z,3479,11085,311,6
Chart Hackers,WUghDFQEZO0,CRYPTO TRADING: Why and Where You NEED To Short This Bitcoin Pump,2026-09-03T18:34:46Z,3511,9961,344,5
Chart Hackers,zpo2td_-JYk,CRYPTO TRADING: Bitcoin Holding Won't Save Your Altcoins From Dumping,2026-09-01T18:58:05Z,2929,9147,294,3
Chart Hackers,-GL2MNqDfrU,🔥 BANGER SHOW TODAY GUYS 🔥,2026-07-16T19:06:41Z,23,1459,33,2
Chart Hackers,m9pTqALDmmo,🚨 BITCOIN from THE Lord of Entry! 🔥,2026-07-07T15:39:38Z,47,1192,28,1
Chart Hackers,fk6GG2QInDE,"Crypto Trading | Bitcoin Meltdown, Is This Where Altcoins Bounce?",2026-06-04T16:58:29Z,3906,5212,372,3
Chart Hackers,g_c92rRlz7U,$80K Support? Long These Altcoins Immediately,2026-05-14T23:09:05Z,2764,3852,345,8
Chart Hackers,zFVWQFv5MxA,🚨 URGENT CRYPTO MARKET UPDATE: $BTC BOUNCE from THE Lord of Entry! 🔥,2026-03-19T18:28:28Z,106,2082,80,2
Chart Hackers,3rlxqvv1fzM,Bitcoin Is Setting Up A Trap No One Sees Coming!,2026-03-12T16:35:49Z,2678,5049,357,13
Chart Hackers,h3KMqoceR6o,"TURN $150 INTO A $10,000 TRADING ACCOUNT - 3-Day Challenge 2.0",2026-02-07T15:26:08Z,53,2605,72,114
Chart Hackers,348zBnneABQ,Here’s What Happens to Altcoins After Bitcoin Bounces! [URGENT],2025-11-18T17:16:23Z,3925,7870,537,9
Chart Hackers,2DhQXKffTSY,Crypto Live Trading | With Chart Hackers Team,2025-11-01T17:14:33Z,4654,9755,606,8
Chart Hackers,waWrtO7lgx4,Is This Where Crypto Finally Bounces!? [My Altcoin Picks],2025-10-30T22:42:17Z,2269,5362,555,24
Chart Hackers,lkoiF40kM2k,Crypto Dump! 🚨 Weekend Trades To Target Right Now! [HURRY],2025-10-10T16:40:13Z,3049,11643,607,21
Chart Hackers,0HF9NUO9Mf4,Bitcoin Dominance Breakout! Should You Exit Altcoins Now?,2025-10-09T16:41:48Z,3260,10913,730,20
Chart Hackers,Zutp7f_7S8Y,Get a Job... OR... Trade Crypto and Get a Boat! 🛥️,2025-09-12T20:00:33Z,57,1851,77,8
Chart Hackers,zVNzHGPpSWo,This Crypto Market Glitch Could DESTROY Altcoins Next!,2025-09-01T16:48:31Z,3601,12701,800,16
Chart Hackers,VhOy7gzxANo,"If Bitcoin Fails To Hold This Level, Expect THIS! [BAD]",2025-08-18T16:37:41Z,3020,11955,769,11
Chart Hackers,zVfqM7DL3hI,Ethereum Is About To SHATTER All-Time Highs! [My Next Crypto Targets],2025-08-13T16:41:45Z,3444,10585,765,13
Chart Hackers,nsD_wt9_dSg,MAJOR FED UPDATE! 🚨 Is This The Fuel Bitcoin Needs?,2025-08-05T16:43:41Z,3344,15767,1048,18
Chart Hackers,KF6jTrus1lQ,LIVE Crypto Trading | Best Altcoin Trades In This Crypto Market!,2025-06-19T22:37:38Z,1921,3228,352,12
Chart Hackers,i_EJbxUmuOs,LIVE Crypto Trading | With the Chart Hackers Team,2025-05-17T16:44:30Z,5357,12447,908,12
Chart Hackers,b5Z-GIkNUP4,The Crypto Recovery Might Be Sooner Than You Think! [ACT FAST],2025-02-04T17:50:34Z,3489,9164,669,11
Chart Hackers,dxWeF4k8T3Y,Altcoins Are STILL In Danger! Should You Sell?,2024-11-27T17:53:12Z,3859,16619,1145,13
Chart Hackers,7SL0wSByO_0,2 EASY Altcoin Narratives To Trade RIGHT NOW!,2024-10-22T16:32:24Z,3077,9314,1123,10
Chart Hackers,riCm5tEpHRw,The BIGGEST Meme Coin Super Cycle Has BEGUN! [Top Picks!],2024-10-07T16:56:58Z,4132,12861,999,21
Chart Hackers,0MuxYCrs7ng,3 Altcoin Trades I'm Taking! (24 Hours),2024-10-03T16:34:47Z,2972,9667,937,17
Chart Hackers,h19Q630f8GU,Your Altcoins Are About To BLEED! [Final Warning⚠],2024-09-16T12:14:47Z,2763,16488,1289,18
Chart Hackers,lkU7TsDwF6A,THIS Tron Pump Can Go HIGHER Than You Think! [INSANE ALTCOIN TRADE],2024-08-21T16:44:02Z,3357,8635,881,20
Chart Hackers,6PUTW1xkW3w,"This Chart FINALLY Broke DOWN, SO Bitcoin Can PUMP!",2024-08-20T16:35:43Z,3207,12398,1114,15
Chart Hackers,tt6nhADQh7k,Bitcoin Just Fooled Us ALL! [I'm Doing This FAST],2024-07-05T16:22:06Z,2856,16851,1335,25
Chart Hackers,07RmB4w52A8,Start Buying THIS Altcoin FAST!,2024-07-02T16:37:57Z,3127,13046,1145,14
Chart Hackers,vyDwfTeqfhc,"I Just Took A $100,000 LONG On Bitcoin [WHY + My Exact Trade]",2024-06-20T16:29:16Z,2850,11101,875,13
Chart Hackers,kuoqUI6bjg0,THIS Is When You Should Sell ALL Your Crypto!,2024-06-17T16:36:47Z,2772,11666,949,12
Chart Hackers,zGpyN3s4Doc,This Meme Coin Is The BEST Trade Since GME! [YOU'RE EARLY],2024-05-14T16:31:26Z,2775,17934,1468,20
Chart Hackers,a9J7M1ttPq4,The FIRST Altcoins To BREAK Their ALL-TIME HIGHS!,2024-03-07T16:41:30Z,3179,20381,1349,23
Chart Hackers,vURcw9ERHtQ,3 Altcoin SPOT Trades To DOUBLE Your Portfolio! (ACT NOW),2024-02-29T16:36:21Z,3287,25740,1512,33
Chart Hackers,r9D1F_3srIY,Your Favorite Altcoins AREN'T SAFE To Buy...Yet,2024-02-01T16:13:58Z,2902,14283,1004,18
Chart Hackers,eVJNRpJj73A,Where To BUY This Altcoin Dip! (BIG PROFITS SOON),2024-01-22T16:15:55Z,2948,10095,897,17
Discover Crypto,a4JmZ3VhS6A,Altcoins Just Got MASSIVE SEC News (White House Next),2026-09-08T15:41:20Z,3784,2154,311,24
Discover Crypto,m2gPxI_wqMo,"September 6, 2026",2026-09-07T02:00:14Z,20,3004,43,37
Discover Crypto,pTVMUhrijd0,Altcoin SUPERCYLE Begins,2026-09-07T00:00:52Z,47,3705,129,41
Discover Crypto,TKwDtePOdGI,TOP Robinhood Crypto Strategy: 3 Altcoins I’m Watching NOW,2026-09-05T18:49:51Z,292,10137,219,52
Discover Crypto,kNjo91tznFg,Bitcoin FLASH CRASH! (September Just Got Interesting),2026-09-04T16:32:44Z,3944,13471,347,141
Discover Crypto,rEnDNPXpWDg,Crypto Bottom IN? (This Signal Never Failed),2026-09-04T01:31:09Z,459,7935,152,36
Discover Crypto,ouLLo3N_wQY,Bitcoin Surprise Pump (SEC Says Clarity Will Pass),2026-09-02T15:50:57Z,3187,9038,297,40
Discover Crypto,RX_hh4MPJ3k,Bitcoin Rally OVER? (MOST Important Levels To Watch),2026-09-01T23:00:03Z,384,10067,156,45
Altcoin Daily,wtbma0QBCkc,Crypto Is About To EXPLODE… Here’s What Happens Next,2026-09-08T00:29:29Z,803,62045,2493,185
Altcoin Daily,GltJ86-rngo,The Man Who Cracked The Crypto Algorithm Reveals Next Great 10x Opportunity | Crypto Banter,2026-09-06T17:59:41Z,2553,79545,1891,147
Altcoin Daily,E6A54A7936o,Crypto Is About To Get INSANE… You’ve Been Warned,2026-09-05T18:17:52Z,711,111303,2655,185
Altcoin Daily,Z47BfXtRebM,I'm Going to LOAD THE BOAT on this Crypto Now‼️,2026-09-04T20:00:17Z,644,69367,3444,122
Altcoin Daily,6HSNPJVbJRc,Will Bitcoin Hit $150K This Year?,2026-09-04T14:00:18Z,69,33053,479,22
Altcoin Daily,GR8ofPaX3Vc,5 Crypto Coins will 10x in 30 Days! (Watch Before I Delete),2026-09-03T23:19:56Z,611,83521,3289,244
Altcoin Daily,4oF8mlB6jIg,I Got Rich Off Ethereum. This Will Be Even Bigger.,2026-09-03T01:41:54Z,650,129455,2565,214
Altcoin Daily,4hX7jlvLi_g,A GIANT STORM Is About To Hit Crypto ⛈️,2026-09-01T21:54:44Z,557,57340,1944,108
Altcoin Daily,YkOrogr_ntM,"Right Before Crypto Goes Parabolic, Ethereum Always Does This",2026-09-01T00:00:10Z,545,62926,1911,86
Finance Bureau,ADjRFvpMMJ8,5 takeaways from the August Unemployment rate report.,2026-09-08T17:00:17Z,81,0,0,0
Finance Bureau,JZBnTqCO3Yk,AI Is Turning EVERYTHING You Own Into a Subscription,2026-09-08T16:00:31Z,1036,592,73,15
Finance Bureau,0rFKeXIoPNM,The old retirement plan just doesn't work anymore.,2026-09-07T18:17:11Z,55,545,19,3
Finance Bureau,73WJbVN-XsA,5 reasons why Gen Z will never retire,2026-09-06T18:16:15Z,85,2105,92,10
Finance Bureau,FBs-hRortZQ,Western Europe is COLLAPSING. But Eastern Europe is Rising.,2026-09-06T16:00:16Z,1014,52687,1126,267
Finance Bureau,aTYG3zNKSUI,The $30 Trillion AI Lie Anthropic Doesn't Want You to See,2026-09-05T16:00:25Z,1036,72102,966,131
Finance Bureau,7LfVUyKqDhg,China Is Using AI To REPLACE the U.S. Dollar,2026-09-03T16:00:18Z,960,49437,660,48
Finance Bureau,b86UZtM7U74,Trump Got $5.8 TRILLION Worth of Oil - For FREE,2026-09-02T16:00:28Z,1107,16656,331,52
Finance Bureau,6IxPt-072-Q,India's Cockroach Movement Explained,2026-09-01T16:00:22Z,1002,10058,234,15
Finance Bureau,ErudBe3UDq8,The Next Middle East War is Closer Than You Think,2026-08-30T16:00:25Z,973,75459,923,431
Finance Bureau,b-CPc6MjoJQ,The Global Monetary RESET Has Begun... Here's How To Protect Yourself,2026-08-23T16:00:06Z,1076,99568,2214,205
Finance Bureau,Yx9huiJH33g,The SpaceX IPO... It's Worse Than You Think,2026-08-11T16:00:05Z,992,154189,2859,447
Finance Bureau,qagvVRk1sCs,AI’s Mountain of Debt Is About To Come Crashing Down,2026-08-09T16:00:10Z,863,6977,321,17
Finance Bureau,fg1Kvp5DwxI,The EU Is 6 Months Away From Becoming South America,2026-08-04T16:00:24Z,1128,230128,7178,2110
